Country Name,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Mozambique,30.0,28.558823529411764,75.3446,64.76836628000001,61.475,38.60679261052244,79.237616576496,74.275,42.5,50.0,5.3625,32.0,32.0,20.35,34.261250000000004,24.20625,7.29175,4.73425,4537.143502550928,44.627250000000004
Namibia,30.0,46.30882352941177,66.1025,62.5608435925,66.325,83.49667245632702,74.82501836957609,79.75,53.75,40.0,2.6375,37.0,34.0,29.35,35.20725,2.1647499999999997,4.317,5.992,592.511261443092,25.0605
Nepal,30.0,25.833333333333332,85.6031,89.69636432,61.575,44.93629819920497,73.17208923767575,59.8,6.25,30.0,12.6,25.0,25.0,13.7588425,18.50225,28.8745,4.3105,9.207,72.66365458488208,31.124499999999998
Netherlands,90.0,85.75490196078431,52.083275,27.124700000000004,84.25,62.127850833619306,81.03942664858732,87.655,90.0,80.0,1.1725,52.0,25.0,38.225,49.269898549152714,16.776,0.11149999999999999,2.045,17881.854456975074,70.29525000000001
New Zealand,95.0,92.75980392156863,71.03407756,38.628125,95.725,89.24745115097343,86.31972382749015,86.89,80.0,80.0,1.5550000000000002,33.0,28.0,31.99075,45.18157949286102,4.46325,2.3955,1.8624999999999998,2664.5154863137536,36.2745
Nicaragua,12.5,26.279411764705884,78.4286,76.11488213,55.75,58.724877012315154,70.70968982503415,85.60000000000001,63.75,50.0,2.1999999999999997,30.0,30.0,18.9,27.97075,6.055,4.64925,7.3615,866.65,49.676
Niger,30.0,30.004901960784313,76.665475,82.23673968,37.300000000000004,41.97559865005275,84.50453175379883,66.88499999999999,55.0,40.0,9.67,35.0,30.0,14.425,24.161,16.226,5.99525,1.1909999999999998,801.8550852090116,30.0525
Nigeria,30.0,24.666666666666668,84.479775,79.9402700325,50.175,71.0411381567878,72.06450403475284,64.07499999999999,40.0,40.0,10.475,24.0,30.0,6.775,24.963,167.07850000000002,6.52425,9.89775,6561.67,16.36975
Norway,90.0,87.51960784313725,51.737300000000005,42.020925,91.3,46.48952378781296,78.36273520499245,88.9,73.75,60.0,0.5625,47.8,27.5,42.24875,43.95985368552735,5.0657499999999995,1.918,1.54175,8588.892449459468,35.841499999999996
Oman,52.5,47.044117647058826,98.50290000000001,51.5353861925,68.725,76.24670136059977,75.10456458268956,79.78999999999999,63.75,60.0,3.2424999999999997,0.0,12.0,2.6,39.853,3.36225,4.63,2.3075,1276.8673527308251,5.83675
Pakistan,30.0,26.166666666666668,79.458775,87.3915270325,66.725,44.861506796817395,69.54127051125633,65.35,45.0,40.0,9.825,27.5,34.5,10.081155,20.46275,180.7745,3.457,10.161999999999999,1306.93729975,62.37825
Panama,30.0,34.745098039215684,84.8579,78.3051248325,72.85,40.97804800952992,76.49930490016223,76.3,72.5,70.0,6.85,25.0,25.0,16.075,26.902250000000002,3.7235,8.8635,4.55775,3794.9500000000003,40.87125
Papua New Guinea,20.0,23.05392156862745,67.0759,73.1562876925,57.175,73.36331735517587,72.80176332554073,85.16499999999999,32.5,30.0,2.4175,42.0,30.0,25.063902499999998,29.868499999999997,7.0032499999999995,7.10375,5.36825,-73.14215852461268,26.863749999999996
Paraguay,30.0,22.637254901960784,96.1011,84.91220573,59.525,27.798568243362485,78.94990179157932,80.34,73.75,60.0,4.2175,10.0,10.0,13.825,22.33275,6.72175,4.997,4.524,310.402,15.40075
Peru,40.0,35.995098039215684,79.0275,88.19808531999999,69.6,63.68974870715688,83.80961688839854,86.495,70.0,60.0,1.7525,30.0,30.0,17.15,19.8095,30.713250000000002,5.140499999999999,3.26925,9562.809627754776,20.424500000000002
Philippines,30.0,31.519607843137255,79.15880797894374,90.35499999999999,57.825,53.99778916520466,77.78069013617602,75.69,57.5,55.0,4.6674999999999995,32.0,30.0,12.673760000000001,17.9135,97.14349999999999,5.892,3.75,3529.8303617966003,39.4725
Poland,61.25,57.705882352941174,77.425275,44.958125,67.525,60.42259728855197,80.49435838941585,87.655,70.0,70.0,1.1725,32.0,19.0,29.075000000000003,42.82846042121426,38.349000000000004,2.81175,2.2065,6584.90494204234,54.211
Portugal,70.0,61.779411764705884,60.83515,27.172300000000003,85.125,38.00506438308411,81.8067502405583,87.655,70.0,60.0,1.1725,47.625,24.75,32.1305,49.26773017260607,10.5515,-1.2705000000000002,1.65425,7795.169454711317,122.19875
Qatar,68.75,70.3529411764706,99.778975,73.9123002925,70.75,68.83596169433869,78.82974424520049,81.475,45.0,52.5,4.2749999999999995,0.0,0.0,4.525,29.378,1.9655,9.41725,2.4907500000000002,110.0274725274788,33.756
Romania,38.75,39.916666666666664,87.33500000000001,62.3278640325,69.325,65.59950906276015,77.53812617659622,87.655,78.75,50.0,1.1725,16.0,16.0,27.475,35.415,20.9925,2.29025,3.5565,2940.826129012433,37.4065
Russia,22.5,25.264705882352942,85.201875,57.469970832499996,71.925,56.22132693213279,65.73103591892914,74.85,25.0,30.0,5.075,13.0,20.0,30.049999999999997,37.633250000000004,142.74099999999999,2.4015,7.0245,51128.414,12.951500000000001
